@RaulCesarTCF; tweeted: Hoje o Bahia goleia o Paraná 
Amanhã a chape ganha do Vitória 
O Cruzeiro com time reserva vai entregar pro Vasco… https://t.co/9KDPKYny4z;Sat Oct 13 13:41:21 +0000 2018
@jpnakakura; tweeted: O @Cruzeiro nos próximos 5 jogos :
Vasco (Fora)
Chapecoense (Casa)
Ceará (Casa)
Paraná (Casa)
América MG (Fora)

Só… https://t.co/xlj3b5jAnp;Sat Oct 13 12:44:39 +0000 2018
@brunomg80; tweeted: @thiagoeloig @atletico @tomiandrade8 O América MG;Fri Oct 12 22:11:26 +0000 2018
@Laranjeiras52; tweeted: RT @mwrkussccp: esse aderlan do América MG é muito ruim kkkkkkkkkkkkkk;Fri Oct 12 22:04:22 +0000 2018
@Laranjeiras52; tweeted: RT @Lukgomes_97: Esse Aderlan do America MG é horrível;Fri Oct 12 22:02:49 +0000 2018
@Laranjeiras52; tweeted: RT @opina_tricolor: Aderlan, lateral direto do América MG é um dos piores que eu já vi na vida, meu Deus do céu;Fri Oct 12 22:02:44 +0000 2018
@paiva_tv; tweeted: RT @MaxBrasil2000: Alô alô Adilson Batista, grande técnico do América MG, por favor não ressuscite o Galo ressuscite o Cueião. Salve o Deca…;Fri Oct 12 22:01:34 +0000 2018
@MaxBrasil2000; tweeted: Alô alô Adilson Batista, grande técnico do América MG, por favor não ressuscite o Galo ressuscite o Cueião. Salve o Decacampeão MG.;Fri Oct 12 21:52:27 +0000 2018
@HialaLucas; tweeted: RT @AnnaClaudia_ffc: Fluminense pagou os salários de agosto e a premiação da sul-americana que estava atrasada

Está acertando a permanênci…;Fri Oct 12 20:51:58 +0000 2018
@elustosaf; tweeted: @JogueinaSEP Luan, que joga no América/MG agora 🤔;Fri Oct 12 20:49:22 +0000 2018
@AnnaClaudia_ffc; tweeted: Fluminense pagou os salários de agosto e a premiação da sul-americana que estava atrasada

Está acertando a permanê… https://t.co/2hbQbFLN0S;Fri Oct 12 20:41:07 +0000 2018
@fabiocardoso27; tweeted: RT @TottiMilanelo: @capelareal Esse juiz vive operando o Corinthians
Contra o América mg não deu dois pênaltis;Fri Oct 12 20:34:18 +0000 2018
@BPToficial; tweeted: O site @lancenet disse que o Fluminense abriu conversas com o lateral direito do América/MG Aderlan de 28 anos e of… https://t.co/0KQFafPzFS;Fri Oct 12 20:14:54 +0000 2018
@ND_Esportes; tweeted: América-MG faz treino secreto e pode ganhar reforço no clássico https://t.co/2qJqzQsq7r;Fri Oct 12 20:10:12 +0000 2018
@gleisonfoxx; tweeted: RT @NETFLU: De olho em 2019, Fluminense abre conversa para contratar lateral-direito do América-MG https://t.co/FeSqbz3AHN https://t.co/ycE…;Fri Oct 12 19:49:25 +0000 2018
@enzopereira7084; tweeted: @matheusesouza o que acha do Aderlan lateral direito do América MG ? E o Alejandro Guerra ainda pode ser uma boa contratação ?;Fri Oct 12 19:39:01 +0000 2018
@ND_Esportes; tweeted: Nathan diz que a vitória sobre o América-MG virá no domingo https://t.co/iqrFK2J8Lr;Fri Oct 12 19:30:09 +0000 2018
@Sandra_Crist; tweeted: #BoaTardeFOX Meus palpites:
Flamengo 1X2 Fluminense 
Santos 0X1 Corinthians 
Bahia 2X1 Paraná 
Chapecoense 1X0 Vitó… https://t.co/CAiOFGzXN4;Fri Oct 12 19:15:06 +0000 2018
@WilliamFiguei17; tweeted: Meus palpites. 
Flamengo 1x1 Fluminense 
Santos 2x0 corinthians 
Bahia 3x0 Paraná 
Chapecoense 1x0 vitória 
Vasco 1… https://t.co/1wfRWPilWh;Fri Oct 12 18:46:36 +0000 2018
@ND_Esportes; tweeted: Galo praticamente pronto para o clássico contra o América-MG https://t.co/1SSQ0dIIVZ;Fri Oct 12 18:45:07 +0000 2018
@doditeixeira; tweeted: RT @historiadoleao: 11.10.1998 SPORT 3x2 America MG
Campeonato Brasileiro 1998/1a fase/ 23a Rodada 
Gols: Irani, Leonardo 2x
#sportxamerica…;Fri Oct 12 18:28:13 +0000 2018
@GalaticosOnline; tweeted: José Welison quer vitória do Galo contra o América-MG em busca de recuperação na Série A - Notícias - Galáticos Onl… https://t.co/23N282Djl2;Fri Oct 12 18:02:54 +0000 2018
@FutebolMGNet; tweeted: América-MG faz treino fechado visando ao clássico contra o Atlético-MG https://t.co/HscoylJ9ok https://t.co/IVW32l4hpN;Fri Oct 12 17:39:32 +0000 2018
@Guuh_sc; tweeted: RT @TottiMilanelo: @capelareal Esse juiz vive operando o Corinthians
Contra o América mg não deu dois pênaltis;Fri Oct 12 17:36:18 +0000 2018
@futebolaovivohd; tweeted: América-MG faz treino fechado visando ao clássico contra o Atlético-MG https://t.co/EqBeV2OPLT https://t.co/xJlVFbLzoq;Fri Oct 12 17:33:42 +0000 2018
@InfoTricolor10; tweeted: Fluminense já formalizou uma proposta ao lateral-direito https://t.co/riwMqcZtDr;Fri Oct 12 17:23:17 +0000 2018
@PgFb111; tweeted: O Fluminense ja iniciou conversas com o Guerra e com o Aderlan Lateral direito emprestado ao America MG.;Fri Oct 12 17:18:10 +0000 2018
@TottiMilanelo; tweeted: @capelareal Esse juiz vive operando o Corinthians
Contra o América mg não deu dois pênaltis;Fri Oct 12 17:13:07 +0000 2018
@Noticiasdmundo_; tweeted: RT @ochicoefoda: Copa do Brasil Sub17
Segunda Fase

Ida - 17/10 (quarta-feira)
15:00h: América/MG x Flamengo
Estádio das Alterosas

Volta -…;Fri Oct 12 17:08:25 +0000 2018
@ochicoefoda; tweeted: Copa do Brasil Sub17
Segunda Fase

Ida - 17/10 (quarta-feira)
15:00h: América/MG x Flamengo
Estádio das Alterosas… https://t.co/FZfI7TJSsS;Fri Oct 12 17:07:44 +0000 2018
@em_com; tweeted: RT @SuperesportesMG: Quem joga o clássico? Adilson Batista faz mistério, mas utilizará 15º time diferente no América contra o Atlético
http…;Fri Oct 12 17:04:53 +0000 2018
@portaluai; tweeted: RT @SuperesportesMG: Quem joga o clássico? Adilson Batista faz mistério, mas utilizará 15º time diferente no América contra o Atlético
http…;Fri Oct 12 17:04:50 +0000 2018
@SuperesportesMG; tweeted: Quem joga o clássico? Adilson Batista faz mistério, mas utilizará 15º time diferente no América contra o Atlético… https://t.co/BWnVkXRDNO;Fri Oct 12 17:04:41 +0000 2018
@ExploTricolor; tweeted: Fluminense tenta a contratação de lateral-direito do América-MG #ET https://t.co/ty5X07VwCj;Fri Oct 12 17:02:42 +0000 2018
@LeandroDiasNF; tweeted: RT @NETFLU: De olho em 2019, Fluminense abre conversa para contratar lateral-direito do América-MG https://t.co/FeSqbz3AHN https://t.co/ycE…;Fri Oct 12 16:45:44 +0000 2018
@JunioSantoos10; tweeted: @CamilloJOGA10 O América - mg vai jogar na sua casa,  a partida contra o Galo será com campo neutro.;Fri Oct 12 16:43:10 +0000 2018
@NETFLU; tweeted: De olho em 2019, Fluminense abre conversa para contratar lateral-direito do América-MG https://t.co/FeSqbz3AHN https://t.co/ycEB9cOToJ;Fri Oct 12 16:30:40 +0000 2018
@Claudio1501; tweeted: @DKBurman Do América MG quem ajudaria muito é o Messias Zagueiro...;Fri Oct 12 16:26:00 +0000 2018
@Claudio1501; tweeted: @luizasabg Do América MG quem ajudaria muito é o Messias Zagueiro...;Fri Oct 12 16:25:29 +0000 2018
@portaluai; tweeted: RT @SuperesportesMG: Fora de combate há um mês, Giovanni pode reforçar o América no clássico contra o Atlético
https://t.co/ag8qNhCUzR http…;Fri Oct 12 16:24:49 +0000 2018
@em_com; tweeted: RT @SuperesportesMG: Fora de combate há um mês, Giovanni pode reforçar o América no clássico contra o Atlético
https://t.co/ag8qNhCUzR http…;Fri Oct 12 16:24:45 +0000 2018
@ND_Esportes; tweeted: Fluminense abre conversa para ter Aderlan, do América-MG, em 2019 https://t.co/jlVfMIUvNJ;Fri Oct 12 16:10:08 +0000 2018
@SuperesportesMG; tweeted: Fora de combate há um mês, Giovanni pode reforçar o América no clássico contra o Atlético
https://t.co/ag8qNhCUzR https://t.co/RvrzLW2Q8i;Fri Oct 12 16:00:09 +0000 2018
@fernandarodri26; tweeted: @Radio98Oficial #BiluTeteia98FC participar da promoções dos ingressos para o jogo de domingo Atletico MG X America… https://t.co/PSITqs0jbO;Fri Oct 12 15:54:15 +0000 2018
@CarlosJ49738369; tweeted: #BBdebate se o Jean tivesse convertido o pênalti contra o América MG,estaria bem mais tranquilo;Fri Oct 12 15:52:38 +0000 2018
@ge_americamg; tweeted: América-MG faz treino fechado e não dá pistas sobre escalação do time para clássico https://t.co/VlkybiBA01;Fri Oct 12 15:44:14 +0000 2018
@celuppii; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Fri Oct 12 15:23:24 +0000 2018
@Biluca9; tweeted: " Assistindo ao Giro da Rodada no SporTV, vi os melhores momentos de Atlético PR x América MG. 
Acho que vai dá pro… https://t.co/BY6fgc99iC;Fri Oct 12 15:19:40 +0000 2018
@contagemtv; tweeted: Número maior de trens acoplados vai circular no próximo domingo (14) para atender a torcedores que forem assistir a… https://t.co/QqWRLoA5SA;Fri Oct 12 15:00:06 +0000 2018
@lfltrindade; tweeted: @gikumpel Essa ainda era esperando jg com Palmeiras...
E a proxima que é esperando jg contra America MG?
Semanas loooooongas;Fri Oct 12 14:42:50 +0000 2018
@LgAgora; tweeted: Com a volta de zagueiro, Atlético-MG treina para pegar o América-MG https://t.co/SI6Y3S0T4c https://t.co/R0DBiqhM5h;Fri Oct 12 14:01:07 +0000 2018
@dinahrstyles; tweeted: Não vou colocar o Ricardo oliveira nesse clássico contra o América mg;Fri Oct 12 13:37:18 +0000 2018
@ednaldo_faula; tweeted: @RodrigoBuenoFOX Então o América mg escapa?;Fri Oct 12 13:27:13 +0000 2018
@icaroguibcvo; tweeted: Com a volta de zagueiro, Atlético-MG treina para pegar o América-MG https://t.co/4V7LAP4RKg https://t.co/GmUbVNQ4F8;Fri Oct 12 11:40:34 +0000 2018
@rankeador; tweeted: Com a volta de zagueiro, Atlético-MG treina para pegar o América-MG #esporte #rankeador https://t.co/GOqwhSJRVy;Fri Oct 12 11:24:17 +0000 2018
@sharkbrant; tweeted: @thiagocanto_ Pode ser. Mas foi assim que o América MG ficou com a torcida que tem hoje.;Fri Oct 12 10:29:17 +0000 2018
@omarprofessorRJ; tweeted: RT @menina_futebol: Brasileirão 2018: Sport 2 x 1 Internacional, Corinthians 0 x 3 Flamengo, Vitória 0 x 1 Santos, Atlético PR 4 x 0 Améric…;Fri Oct 12 09:59:55 +0000 2018
@ge_americamg; tweeted: América-MG: matemáticos veem risco de rebaixamento aumentar a 10 rodadas do fim do Brasileiro https://t.co/TtTE2TByN9;Fri Oct 12 08:32:17 +0000 2018
@Gabriel_Rdgs17; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Fri Oct 12 04:00:26 +0000 2018
@sportanosreal; tweeted: RT @historiadoleao: 11.10.1998 SPORT 3x2 America MG
Campeonato Brasileiro 1998/1a fase/ 23a Rodada 
Gols: Irani, Leonardo 2x
#sportxamerica…;Fri Oct 12 02:42:20 +0000 2018
@AntonioJorgeA10; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Fri Oct 12 02:18:46 +0000 2018
@guilhermeluz954; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Fri Oct 12 02:09:35 +0000 2018
@Torcedorescom; tweeted: Atlético-MG x América-MG: veja nova parcial de ingressos vendidos https://t.co/hJMl9oon54 https://t.co/5pSXCbNjyj;Fri Oct 12 01:32:17 +0000 2018
@regis_cristiano; tweeted: RT @ge_americamg: Adilson minimiza retrospecto pessoal contra o Atlético-MG e foca em reação do América-MG https://t.co/NCeS8pew4W;Fri Oct 12 01:02:34 +0000 2018
@crf_myla; tweeted: @txmhollandr @atleticowg então a do América mg;Fri Oct 12 00:58:42 +0000 2018
@VAVEL_Brasil; tweeted: João Ricardo não treina e pode desfalcar América-MG no clássico contra Atlético-MG https://t.co/OrenjtcYc2 https://t.co/8eRXn3yP4b;Thu Oct 11 23:50:15 +0000 2018
@charlesAD61; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Thu Oct 11 23:50:02 +0000 2018
@Coelho_VAVEL; tweeted: João Ricardo não treina e pode desfalcar América-MG no clássico contra Atlético-MG https://t.co/c3lQfjdzan https://t.co/eEd5coRzm4;Thu Oct 11 23:47:33 +0000 2018
@golsdarodadatv; tweeted: Com a volta de zagueiro, Galo treina para pegar o América-MG (11/10/2018) https://t.co/IBwyTdBGV3;Thu Oct 11 23:45:10 +0000 2018
@henriqdant; tweeted: RT @historiadoleao: 11.10.1998 SPORT 3x2 America MG
Campeonato Brasileiro 1998/1a fase/ 23a Rodada 
Gols: Irani, Leonardo 2x
#sportxamerica…;Thu Oct 11 23:41:12 +0000 2018
@Corinthiano_sz; tweeted: @rodolfo1975 1 classificação para final copa do Brasil
2 roubos contra inter e América MG 
Aí é fácil julgar;Thu Oct 11 23:15:08 +0000 2018
@botafogomemes; tweeted: RT @botafogomemes: @Botafogo 
Richard - Paraná 
Alex Santana - Paraná 
Sander - Sport 
Marlone - Sport(emp.Corinthians) 
Marquinhos Gabriel…;Thu Oct 11 22:40:39 +0000 2018
@ND_Esportes; tweeted: João Ricardo sente dores na coxa e pode defalcar o América-MG https://t.co/E9NS1zBPsV;Thu Oct 11 22:40:14 +0000 2018
@caioberaldo; tweeted: @VituPO @Palmeiras Tá ali no cantinho da foto! 12/08/2001, estreia do Pedrinho (c/c @JogueinaSEP) e Dia dos Pais!… https://t.co/69AJLqbGzZ;Thu Oct 11 22:25:22 +0000 2018
@historiadoleao; tweeted: 11.10.1998 SPORT 3x2 America MG
Campeonato Brasileiro 1998/1a fase/ 23a Rodada 
Gols: Irani, Leonardo 2x… https://t.co/iIbJkiKQan;Thu Oct 11 21:40:04 +0000 2018
@marcao97fm; tweeted: @brfrance @estadio97 Isso também é verdade.
Porém quando vc consegue a liderança do campeonato e seus rivais estão… https://t.co/LNSnqE0f58;Thu Oct 11 21:36:21 +0000 2018
@marcao97fm; tweeted: @HamiltonCalil @estadio97 Sim, no 2° turno o SP tem 12 campanha... é algo super natural sim.
Empatar contra o Paran… https://t.co/pdrCxZZ3B1;Thu Oct 11 21:28:55 +0000 2018
@omestrerj; tweeted: RT @menina_futebol: Brasileirão 2018: Sport 2 x 1 Internacional, Corinthians 0 x 3 Flamengo, Vitória 0 x 1 Santos, Atlético PR 4 x 0 Améric…;Thu Oct 11 21:28:38 +0000 2018
@marcao97fm; tweeted: @HamiltonCalil @estadio97 Ah tá... contra o América Mg o Régis tava a disposição e ele jogou improvisado de lateral por que?!;Thu Oct 11 21:26:39 +0000 2018
@FabioLarcher1; tweeted: @NoticiasdoBFR Alex Santana - Parana
Sander - Sport
João Ricardo - América MG
Neilton - Vitória
Gregore - Bahia 
Re… https://t.co/ddBbjZX8NY;Thu Oct 11 21:23:31 +0000 2018
@camillo_lucas; tweeted: RT @_CartolaFCDicas: Nos últimos 7 jogos em casa o Atlético PR marcou mais de um gol. 3 gols no Flamengo, 4 no Vitória, 2 no Grêmio, 2 no B…;Thu Oct 11 21:03:55 +0000 2018
@Avacoelhada; tweeted: João Ricardo é poupado de treino do América-MG e vira dúvida para clássico contra Atlético-MG https://t.co/y3mO0Am4jH;Thu Oct 11 21:03:47 +0000 2018
@ND_Esportes; tweeted: Maidana: 'Não tem jeito. Temos de ir para cima do América-MG' https://t.co/cj7oEGNh2G;Thu Oct 11 20:55:13 +0000 2018
@futebolinterior; tweeted: Desfalcado, América-MG segue trabalhando para o clássico com o Atlético-MG https://t.co/jXpfCaVJ3o https://t.co/JmcAXCQ3Ca;Thu Oct 11 20:44:22 +0000 2018
@CarlosBenjamim_; tweeted: RT @botafogomemes: @Botafogo 
Richard - Paraná 
Alex Santana - Paraná 
Sander - Sport 
Marlone - Sport(emp.Corinthians) 
Marquinhos Gabriel…;Thu Oct 11 20:37:04 +0000 2018
@Leo_Melo_47; tweeted: @dyegod7 O retrospecto é ruim, mas desconsiderando o jogo contra o flamengo, o time vem apresentando um bom futebol… https://t.co/kHhPpT6uTV;Thu Oct 11 20:36:37 +0000 2018
@ND_Esportes; tweeted: Tomás Andrade espera repetir contra o América-MG seus melhores dias https://t.co/ujnYZaZL1r;Thu Oct 11 20:30:18 +0000 2018
@SuperesportesMG; tweeted: João Ricardo vira dúvida no gol do América para clássico contra o Atlético
https://t.co/NBSv22TU4t https://t.co/XRpmPJSQZJ;Thu Oct 11 20:29:06 +0000 2018
@thigremio; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Thu Oct 11 20:13:09 +0000 2018
@xjuuh_sly; tweeted: @YFMA 4º Quando o Flamengo perdeu os jogos contra Ceará, Empatou com o América MG, e perdeu pros reservas do Grêmio… https://t.co/XaBJ810Wfq;Thu Oct 11 20:02:44 +0000 2018
@ND_Esportes; tweeted: Galo fará ação do Outubro Rosa no clássico contra o América-MG https://t.co/h4j4mcrhwp;Thu Oct 11 19:50:12 +0000 2018
@AtlantesFc; tweeted: @fabioazevedotv @fabioazevedotv eu pegaria 30 milhoes e compraria alguns jogadores destaque do Sub-20 do Brasil. 
C… https://t.co/Vkpu4LWObI;Thu Oct 11 19:27:25 +0000 2018
@flusemko; tweeted: RT @Butecodt: Precisamos de algumas torcedoras para uma campanha. É bem simples e fácil.  #OutubroRosa

Torvedoras do Paraná, América MG, F…;Thu Oct 11 19:02:45 +0000 2018
@ge_americamg; tweeted: João Ricardo é poupado de treino do América-MG e vira dúvida para clássico contra Atlético-MG https://t.co/BTH8Ge0ZkB;Thu Oct 11 18:44:17 +0000 2018
@danielbroilo82; tweeted: @eugenio_real24 Um rebaixamento FIFA no RS só tem um e é do Binter, chora rebaixado por calote vice do América MG;Thu Oct 11 18:37:36 +0000 2018
@JonahWhite30; tweeted: RT @_CartolaFCDicas: Nos últimos 7 jogos em casa o Atlético PR marcou mais de um gol. 3 gols no Flamengo, 4 no Vitória, 2 no Grêmio, 2 no B…;Thu Oct 11 18:05:33 +0000 2018
@viniii__17; tweeted: @machad_10 @Teleco1910 2 vitórias, mas 2 vitórias foram tiradas pela arbitragem (Inter e América MG) e está na fina… https://t.co/5QTbbge5Ot;Thu Oct 11 17:55:37 +0000 2018
@Henrifreire09; tweeted: RT @botafogomemes: @Botafogo 
Richard - Paraná 
Alex Santana - Paraná 
Sander - Sport 
Marlone - Sport(emp.Corinthians) 
Marquinhos Gabriel…;Thu Oct 11 17:13:16 +0000 2018
@krooscassio; tweeted: RT @_CartolaFCDicas: Nos últimos 7 jogos em casa o Atlético PR marcou mais de um gol. 3 gols no Flamengo, 4 no Vitória, 2 no Grêmio, 2 no B…;Thu Oct 11 16:37:16 +0000 2018
@Arthur_Thuiz; tweeted: RT @_CartolaFCDicas: Nos últimos 7 jogos em casa o Atlético PR marcou mais de um gol. 3 gols no Flamengo, 4 no Vitória, 2 no Grêmio, 2 no B…;Thu Oct 11 16:23:52 +0000 2018
@BreninnCRF; tweeted: RT @_CartolaFCDicas: Nos últimos 7 jogos em casa o Atlético PR marcou mais de um gol. 3 gols no Flamengo, 4 no Vitória, 2 no Grêmio, 2 no B…;Thu Oct 11 16:17:04 +0000 2018
@_CartolaFCDicas; tweeted: Nos últimos 7 jogos em casa o Atlético PR marcou mais de um gol. 3 gols no Flamengo, 4 no Vitória, 2 no Grêmio, 2 n… https://t.co/kTkRAMwVYG;Thu Oct 11 16:15:48 +0000 2018
@mateusescobar22; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Thu Oct 11 15:53:55 +0000 2018
@_maah2612; tweeted: RT @CamilloJOGA10: Lima se recupera após cirurgia e Norberto está em transição para voltar a defender o América-MG : https://t.co/P1XqQfMAo…;Thu Oct 11 15:32:41 +0000 2018
@CamilloJOGA10; tweeted: Lima se recupera após cirurgia e Norberto está em transição para voltar a defender o América-MG :… https://t.co/XLpOOER8FZ;Thu Oct 11 15:31:20 +0000 2018
@guiramoscarvalh; tweeted: RT @MemoriaGremista: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cabeça…;Thu Oct 11 15:19:07 +0000 2018
@MemoriaGremista; tweeted: Em 27 de setembro de 1998, Loco Abreu marcava seu primeiro e único gol com a camisa do Grêmio, após escorada de cab… https://t.co/xdNv6Ucau2;Thu Oct 11 15:17:59 +0000 2018
@FabioLarcher1; tweeted: @Botafogo 
Richard(Paraná)G
João Ricardo (America MG)G
Júnior (Paraná)LD
Renan Lodi(CAP)LE
Sander(Sport)LE
Vinícius… https://t.co/3585V4SXsY;Thu Oct 11 14:32:44 +0000 2018
@botafogomemes; tweeted: @Botafogo 
Richard - Paraná 
Alex Santana - Paraná 
Sander - Sport 
Marlone - Sport(emp.Corinthians) 
Marquinhos Ga… https://t.co/b3dmTUYVBI;Thu Oct 11 14:11:59 +0000 2018
@thalissonffc21; tweeted: RT @Butecodt: Precisamos de algumas torcedoras para uma campanha. É bem simples e fácil.  #OutubroRosa

Torvedoras do Paraná, América MG, F…;Thu Oct 11 13:55:50 +0000 2018
@C5PFC; tweeted: @marco139vieira @TheLeonardoSCCP Tem um lateral no Paraná, Júnior ou Juninho não lembro, que acho que dá caldo. O M… https://t.co/QI0fG41ILP;Thu Oct 11 13:53:51 +0000 2018
@lisfontela; tweeted: RT @Butecodt: Precisamos de algumas torcedoras para uma campanha. É bem simples e fácil.  #OutubroRosa

Torvedoras do Paraná, América MG, F…;Thu Oct 11 13:48:57 +0000 2018
@josuetricolor12; tweeted: RT @Butecodt: Precisamos de algumas torcedoras para uma campanha. É bem simples e fácil.  #OutubroRosa

Torvedoras do Paraná, América MG, F…;Thu Oct 11 13:45:17 +0000 2018
@Butecodt; tweeted: Precisamos de algumas torcedoras para uma campanha. É bem simples e fácil.  #OutubroRosa

Torvedoras do Paraná, Amé… https://t.co/ayvTuR7H1r;Thu Oct 11 13:43:43 +0000 2018
@CecAdriano; tweeted: RT @SuperesportesMG: Adilson Batista rechaça retrospecto negativo do América contra o Atlético em 2018: 'Eu não estava aqui'
https://t.co/P…;Thu Oct 11 13:42:01 +0000 2018
@AndreAlves_CEC; tweeted: RT @SuperesportesMG: Adilson Batista rechaça retrospecto negativo do América contra o Atlético em 2018: 'Eu não estava aqui'
https://t.co/P…;Thu Oct 11 13:41:07 +0000 2018
@portaluai; tweeted: RT @SuperesportesMG: Adilson Batista rechaça retrospecto negativo do América contra o Atlético em 2018: 'Eu não estava aqui'
https://t.co/P…;Thu Oct 11 13:40:55 +0000 2018
@em_com; tweeted: RT @SuperesportesMG: Adilson Batista rechaça retrospecto negativo do América contra o Atlético em 2018: 'Eu não estava aqui'
https://t.co/P…;Thu Oct 11 13:40:51 +0000 2018
@SuperesportesMG; tweeted: Adilson Batista rechaça retrospecto negativo do América contra o Atlético em 2018: 'Eu não estava aqui'… https://t.co/GHNkFYPwBk;Thu Oct 11 13:40:45 +0000 2018
@menina_futebol; tweeted: Brasileirão 2018: Sport 2 x 1 Internacional, Corinthians 0 x 3 Flamengo, Vitória 0 x 1 Santos, Atlético PR 4 x 0 Am… https://t.co/4FZmh3R80m;Thu Oct 11 13:37:41 +0000 2018
@Taamir_Licious; tweeted: RT @supernoticiafm: ALÔ, NAÇÃO ALVINEGRA!

Hoje tem em mais uma promoção "Torcida Super Auto Truck" no jornal Super!

Tá afim de assistir a…;Thu Oct 11 13:03:37 +0000 2018
@pretogalosempre; tweeted: RT @supernoticiafm: ALÔ, NAÇÃO ALVINEGRA!

Hoje tem em mais uma promoção "Torcida Super Auto Truck" no jornal Super!

Tá afim de assistir a…;Thu Oct 11 12:53:32 +0000 2018
@dhione01; tweeted: RT @supernoticiafm: ALÔ, NAÇÃO ALVINEGRA!

