"X1";"Score";"text";"data"
"103";103;"0.483423173427582";"Fortaleza vence sai do Z e afunda o Cruzeiro Brasileirão Cruzeiro CampeonatoBrasileiro Fortaleza…";2019-06-13 00:49:11
"104";104;"0.632900834083557";"O Fortaleza venceu o Cruzeiro pelo placar deacom dois gols do atacante André Luis Sassá marcou para o time v…";2019-06-13 00:40:52
"105";105;"0.36164402961731";"Corinthians perdeu duas para o Flamengo empatou com o Cruzeiro e perdeu para o Santos E tivemos jornalistas dizen…";2019-06-13 00:34:56
"106";106;"0.360327243804932";"Acordem desgraçaO Cruzeiro está na mesma situação do Vasco lembrese que o Vasco antes de se afundar montou…";2019-06-13 00:30:30
"107";107;"0.479583740234375";"Vai pra puta que Pariu Mano Menezes 
Na boa
Um meio campo que somaanos 
Cabralanos
Robinho 
Th 
Henriq…";2019-06-13 00:30:10
"108";108;"0.492740750312805";"Vai pra puta que Pariu Mano Menezes 
Na boa
Um meio campo que somaanos 
Cabralanos
Robinho 
Th 
H…";2019-06-13 00:29:54
"109";109;"0.190919756889343";"Mano drx sem zoaçãoa torcida do Cruzeiro podia cometer um atentado contra todos esses da diretoria…";2019-06-13 00:28:27
"110";110;"0";"Torcida do Cruzeiro te que cometer era um atentado contra essa atual diretoria matar era o mínimo";2019-06-13 00:25:29
"111";111;"0.0454545468091965";"A pior sequência da era Mano Menezes só aumenta Qual a moral da diretoria para cobrar desses jogadores uma vez que esc…";2019-06-13 00:24:30
"112";112;"0.770779728889465";"Mano Menezes<U+0001F595><U+0001F3FF><U+26BD><U+0001F499>
Cruzeiro futebol nasbatalhascomocruzeiro foramanomenezes";2019-06-13 00:09:56
"113";113;"0";"SemFolgaNoCruzeiro coloca esses turma para trabalhar não tem nada bom não tem motivo para descanso na parada para Copa…";2019-06-13 00:04:23
"114";114;"0.433699309825897";"jogos sem vencer em alguns sendo goleadoem outros perdeu pra times inferiores em orçamentos e tradiçã…";2019-06-13 00:03:11
"115";115;"0.224660307168961";"Em tempos que a organizada não recebia dinheiro do clube o pau já estaria quebrando a muito tempomas se acontece…";2019-06-13 00:02:51
"116";116;"0.519960999488831";"linhadequarta Ei Cruzeiro quer trocar o Mano Menezes pelo Carille Corinthians";2019-06-12 23:58:59
"117";117;"0";"O CRUZEIRO TEM QUE VALORIZAR O JOGO DE HOJE Perdeu pro Fortaleza Perdeu Jogou mal Jogou Mas tem que valorizar…";2019-06-12 23:54:06
"118";118;"0.488153040409088";"Brasileirao <U+0001F1E7><U+0001F1F7> Fecha Res Finales BotafogoGremio J Pyerre FortalezaA Luis xCruzeiro Sa…";2019-06-12 23:52:21
"119";119;"0.665437579154968";"Tudo bem que o Cruzeiro está em crise dentro e fora de campo mas a vitória do FortalezaEC foi gigante Important…";2019-06-12 23:51:12
"120";120;"0.161311134696007";"Será que é só eu que já xingou x o nome da peladaEeeeee Cruzeiro abre o olho o desgraça
Torcida do Cruzeiro…";2019-06-12 23:37:26
"121";121;"0.437941610813141";"Vão fazer igual àLevar somente uma cartinha Vamos bota a cara e detonar com essa…";2019-06-12 23:36:10
"122";122;"0.756905734539032";"Se deixa eu treina o time dois dias fica melhor que esse retranquero Cruzeiro futebol…";2019-06-12 23:35:58
"123";123;"0.373865753412247";"FARINHA DO MESMO SACO

Futebol no Brasil é produto degrupo de comunicaçãodias atrás como instrumento anticorrupçã…";2019-06-12 23:35:26
"124";124;"0.819211423397064";"Sou Cruzeirense sempre irei torcer pro meu cabuloso mais se ocontinuar com essa pegada vamos disputar esse…";2019-06-12 23:34:46
"125";125;"0.373865753412247";"FARINHA DO MESMO SACO

Futebol no Brasil é produto degrupo de comunicaçãodias atrás como instrumento antico…";2019-06-12 23:34:46
"126";126;"0";"Ou cai a diretoria ou cai oE não é exagero não…";2019-06-12 23:33:30
"127";127;"0.0238095242530107";"Dedé é outro que vem numa péssima fase interminável Acho que a decepção de uma não convocação para a Copa América…";2019-06-12 23:33:06
"128";128;"0.0718013346195221";"“Mais uma partida ruim Demoramos demais a acordar nos jogos Quando acordamos já levamos um dois gols O Campeonato Br…";2019-06-12 23:31:14
"129";129;"0.549377143383026";"Nosso submorreu na decima rodada do BRa verdade é essaCruzeiro 

Fabio 
Romero 
Dede 
Leo 
Henriq…";2019-06-12 23:27:46
"130";130;"0.819211423397064";"Sou Cruzeirense sempre irei torcer pro meu cabuloso mais se ocontinuar com essa pegada vamos disputar…";2019-06-12 23:26:42
"131";131;"0.388995856046677";"VerdadeDiniz com jogadores ruins pra caralho deu um baile no Cruzeiro dentro do…";2019-06-12 23:25:53
"132";132;"0.0608159303665161";"Verdade nunca vamos ganhar uma libertadores com Mano MenezesG…";2019-06-12 23:24:00
"133";133;"0.0294130444526672";"SemFolgaNoCruzeiro coloca esses turma para trabalhar não tem nada bom não tem motivo para descanso na parada par…";2019-06-12 23:23:59
"134";134;"0.201223775744438";"A crise do Cruzeiro vai além do trabalho do Mano Menezes Vai do Presidente ao técnico Do goleiro ao último reser…";2019-06-12 23:21:25
