Id;Score;text;data;
89;89;0.291359841823578;mas amiga nao curtes uma conversa cap;19/03/2019 23:39
90;90;0.488211035728455;"<U+0001F440>
Eu tirei Léo Pereira E você";19/03/2019 23:32
91;91;0.713880360126495;Que honra Eu tirei Bruno Guimarães E você;19/03/2019 23:32
92;92;0.442164361476898;Eu tirei Adriano E você;19/03/2019 23:06
93;93;0.282269656658173;"Por essa eu não esperava
Eu tirei Alex Mineiro E você";19/03/2019 23:04
94;94;0.442164361476898;Eu tirei Rony E você;19/03/2019 22:48
95;95;0.442164361476898;Eu tirei Petraglia E você;19/03/2019 22:45
96;96;0.512425482273102;Eu tirei Aderbar dos Santos Neto E você;19/03/2019 22:45
97;97;0.442164361476898;Eu tirei Renan Lodi E você;19/03/2019 22:44
98;98;0.5;"CAMPEONATO PARANAENSE

Nesta quartafeiraoenfrenta opela Taça Dirceu krüger

Tex…";19/03/2019 22:01
99;99;0.550862908363342;IdoloEu tirei Cocito E você;19/03/2019 21:47
100;100;0.976982474327087;Amei<U+2764><U+FE0F><U+0001F5A4>;19/03/2019 21:42
101;101;0.355419874191284;Eu tirei Bergson Só no JBL;19/03/2019 21:35
102;102;0.780442714691162;cacete E realmente sou goleiro nas peladas Hahahaesse quiz botei fé Eu tirei Weverton E você…;19/03/2019 21:23
103;103;0.479850113391876;Eu tirei Marco Ruben E você;19/03/2019 21:23
104;104;0.870198011398315;"Meu favorito Top

Eu tirei Nikão E você";19/03/2019 21:14
105;105;0.744379699230194;"<U+0001F60E>
Eu tirei Renan Lodi E você";19/03/2019 21:07
106;106;0.589025259017944;"Hahahaha curti demais
Eu tirei Cocito E você";19/03/2019 20:39
107;107;0.704100549221039;É CLARO QUE NÃO PODERIA SER OUTRA PESSOA <U+0001F60D>Eu tirei Lucho González E você;19/03/2019 20:30
108;108;0.442164361476898;Eu tirei Zé Ivaldo E você;19/03/2019 20:27
109;109;0.136369556188583;"Não pode ser hahahha

Eu tirei Felipe Gedoz E você";19/03/2019 20:12
110;110;0.442164361476898;Eu tirei Lucas Halter E você;19/03/2019 20:11
111;111;1;"Meu amorrrrr <U+0001F499><U+0001F499><U+0001F499><U+0001F499> 
Eu tirei Bruno Guimarães E você";19/03/2019 20:07
112;112;0.341104865074158;Eu tirei Pablo E você;19/03/2019 20:05
113;113;0.737498164176941;"Muito massa gostei dessa

Eu tirei Lucho González E você";19/03/2019 20:03
114;114;0.304001986980438;"BULLYING HAHAHAHAHAHA
Eu tirei Walter E você";19/03/2019 20:00
115;115;0.454374611377716;"HAHAHAHAHAHAHAHAHAHAHA
Eu tirei Paulo Baier E você";19/03/2019 19:56
116;116;0.562706530094147;Mais óbvio impossível hahaha Eu tirei Cocito E você;19/03/2019 19:37
117;117;0.46103298664093;"Carai sou o Bruxo pokofeliz
Eu tirei Bruno Guimarães E você";19/03/2019 19:06
118;118;0.369716942310333;"JBL no último volume <U+0001F923><U+0001F923>
Eu tirei Bergson E você";19/03/2019 19:04
119;119;0.557374477386475;"sempre soube disso na verdade 

Eu tirei Walter E você";19/03/2019 18:42
120;120;0.374037563800812;serio vai toma no cupqp rsrsrsEu tirei Felipe Gedoz E você;19/03/2019 18:37
121;121;0.715124368667603;"Nenhuma surpresa

Mesma posição e qualidade em campo hahaha

Eu tirei Paulo André E você…";19/03/2019 18:37
122;122;0.442164361476898;Eu tirei Lucho Gonzales E você;19/03/2019 18:06
