Id;Score;text;;data
106;106;0.0195082426071167;tweeted Tiago Largui que ultimamente vem matando de raiva merece elogios por tirar o time de um poss√vel rebaixamento dep‚Ä;01/10/2018 18:00
107;107;0.588655889034271;tweetedPara um time que √ de todos todo dia √ dia de luta;01/10/2018 18:00
108;108;0.427167683839798;tweeted S√ observando os corneteiros falando que nunca criticou fulano e beltrano depois dessa goleada galo;01/10/2018 18:00
109;109;0.711511313915253;tweeted Se ganhar as pr√ximasainda d√;01/10/2018 18:00
110;110;0.440259516239166;tweetedGalo Eu te amo;01/10/2018 18:00
111;111;0.615147888660431;tweetedüé TV GALO AO VIVOP√sjogo Atl√ticoxSport Melhores momentos da goleada do Galo an√lise da partida e entrevista col‚Ä;01/10/2018 18:00
112;112;0.4944908618927;tweetedE o Galo ganhou hein üò‚ôÔüì;01/10/2018 18:00
113;113;0.413751125335693;tweeted O lugar dela √ debaixo da minha asa mesmo üìüñ Galo GaloDoido GaloNaVeia Aqui√Galo LeLo filhosdeNeneca em A‚Ä;01/10/2018 18:00
114;114;0.616545855998993;tweeted Hoje foi m√o cheia no Horto Galo;01/10/2018 18:00
115;115;0.697043180465698;tweeted Ser√ que ainda tem gente que acha o Patrick melhor do que o Emerson Galo;01/10/2018 18:00
116;116;0.365714907646179;tweeted Como acho q apts do l√der√ tem chance de t√tulo apts do SantosG parece certo cru √ conta v√o g‚Ä;01/10/2018 18:00
117;117;0.59858250617981;tweeted Acho q a meta do GALO tem q ser o G o time em parte √ jovem e de muitos emprestados o treinador a gnt n sabe se‚Ä;01/10/2018 18:00
118;118;0.508465707302094;tweeted GALO goleou e n√is t√ como;01/10/2018 18:00
119;119;0.808626174926758;tweeted Boa Galopts agora √ lutar por uma das vagas diretas p Libertadorese se vier algo a√ lucro pq o g√ni‚Ä;01/10/2018 18:00
120;120;0.788439571857452;tweetedPONTOS MEUS AMIGOS OBJETO DO ANO FOI ALCAN√áADO AGORA √â SO ALEGRIA VAMU GALO ForaLarghi ForaAlexandreGallo;01/10/2018 18:00
121;121;0.589759230613708;tweeted Enquanto o treinador pensa nao yer obriga√√o de ganhar este campeonatoa torcida da o recado comparecendo no est‚Ä;01/10/2018 18:00
122;122;0.278069227933884;tweeted Se o Galo n√o oscilasse tanto n√;01/10/2018 18:00
123;123;0.279270648956299;tweetedEu n√o consigo comemorar essa Vit√ria O sport √ horroso e jogou maisminutos com um a menos‚Ä;01/10/2018 18:00
124;124;0.93478262424469;tweeted Escolhido pela Massa Diz a√ quem foi o melhor em campo na goleada do Atl√tico sobre o Sport no Horto pelo Brasi‚Ä;01/10/2018 18:00
125;125;0.33971631526947;tweeted Queria me acostumar a v√ um jogo tranquilo do Galo;01/10/2018 18:00
126;126;0.615147888660431;tweeted üé TV GALO AO VIVOP√sjogo Atl√ticoxSport Melhores momentos da goleada do Galo an√lise da partida e entr‚Ä;01/10/2018 18:00
127;127;0.463322132825851;tweeted Galo eu te amo seu Miser√vel;01/10/2018 18:00
128;128;0.101842433214188;tweeted Galo fez oq tinha de fazer goleou Sport √ muito fraco;01/10/2018 18:00
129;129;0.808735728263855;Caz√res e Elias se destacaram mas vamos com calma pq o‚Ä;01/10/2018 18:00
130;130;0.5;tweetedP√blico no Hortotorcedores Renda R;01/10/2018 18:00
131;131;0.668888092041016;Vamos Galo CAMxSAN DiaDosPais;01/10/2018 18:00
132;132;0.562248528003693;tweeted Sentei pra salvar o Atletico da derrota Foramgols do galo depois que comecei a ver Galo Atletico GloboMinas;01/10/2018 18:00
133;133;0.0833280831575394;tweeted Galo fazendo algo q eu n√o entendi mas gostei e Brasil vacilando no v√lei Uma pena tinha potencial mas tem q ga‚Ä;01/10/2018 18:00
134;134;0.625245451927185;tweetedüìà Confira o retrospecto do confronto entre Atl√tico e Sport;01/10/2018 18:00
135;135;0.626334249973297;Qual √ o seu palpite para o jogo deste domingo;01/10/2018 18:00
136;136;0.644640207290649;Vamos Galo‚Ä;01/10/2018 18:00
137;137;0.481543958187103;tweeted üôüpontos alcan√ados üôü;01/10/2018 18:00
138;138;0.127078056335449;üó Al√ torcedor que s√ queria isso pra esse ano voc√ acaba de entrar de f√rias e pod‚Ä;01/10/2018 18:00
139;139;0.00257784128189087;tweetedPlacar mentiroso tomargols do Sport Vai a merda tinha que ganhar sem levar gols Galo;01/10/2018 18:00
140;140;0.661623120307922;J√ grande maioria AMassa segue firme ap‚Ä;01/10/2018 18:00
141;141;0.5;tweeted COMENTEM;01/10/2018 18:00
142;142;0.494821190834045;Galo Cariogalo;01/10/2018 18:00
143;143;0.5;tweeted EnqueteFalaGalo;01/10/2018 18:00
144;144;0.337289214134216;tweeted Hoje os jogadores quiseram e isso esta muito errado ForaLarghiBica bicudo Galo;01/10/2018 18:00
145;145;0.874829471111298;tweetedAi no jogo do Galo barreira nao respeita distancia normal cara se defende com bra√o dentro da area‚Ä;01/10/2018 18:00
146;146;0.494821190834045;tweeted GOLEADA DO GALO ‚ö‚öüî;01/10/2018 18:00
147;147;0.57194972038269;Elias F√bio Santos Emerson Cazares e Ricardo Oliveira marcam e o Galo goleia o Sport no Hor‚Ä;01/10/2018 18:00
148;148;0.663601279258728;tweeted Fechando o doming√o com chave de ouro aquiegalo ogalo√amorn√o√simpatia galo em Cemit√rio Do HortoArena Galo‚Ä;01/10/2018 18:00
149;149;0.581144094467163;tweetedEU TE AMO PRA SEMPRE GALO;01/10/2018 18:00
150;150;0.508696436882019;tweetedSubstitui√√o no Atl√tico Nathan entra no lugar de Cazares;01/10/2018 18:00
151;151;0.272209167480469;tweeted vit√ria boa mas a cobran√a n√o pode parar GALO;01/10/2018 18:00
152;152;0.464758813381195;tweetedOS CORNETAS HOJE V√ÉO SUMIR TUDINHO;01/10/2018 18:00
153;153;0.639461398124695;VAMOS GALO;01/10/2018 18:00
154;154;0.504536151885986;tweeted DEIXA DE BOBEIRA DEIXA DE BOBAGEM üéüéüé;01/10/2018 18:00
155;155;0.5;V‚Ä;01/10/2018 18:00
156;156;1;tweeted Primeira miss√o comprida ecumprida Bora buscar mais a hist√ria do GALO e a MASSA merecem üëäüüëäüüëäüüì aqui√GALO;01/10/2018 18:00
157;157;0.522701382637024;tweeted Depois de um final de semana muito especial nada melhor que a vit√ria de goleada do GALO Com recorde de p√blic‚Ä;01/10/2018 18:00
158;158;0.565081059932709;tweeted Fim de papo no Horto o Galo fazno Sport emmtarde inspirada de Cazares Elias Chara e cia Ainda assim fal‚Ä;01/10/2018 18:00
159;159;0.93478262424469;tweetedmalandro √ o Emerson j√ jogava bem no modo Patric viu rumores de retorno do M Rocha e tratou de melhorar seu jogo;01/10/2018 18:00
160;160;0.5;tweeted FULLTIME AtleticoSport;01/10/2018 18:00
161;161;0.5;Go‚Ä;01/10/2018 18:00
162;162;0.30656111240387;tweeted Acabou Fim de jogo no Horto GaloxSport;01/10/2018 18:00
163;163;0.626015782356262;Gols do Atl√tico marcados por Elias F√bio Santos Emerson Caz‚Ä;01/10/2018 18:00
164;164;0.497086137533188;tweeted Fim de papo no Indepa GALOxSport Bica bicudo üëäüüëäüüëäüüì aqui√GALO;01/10/2018 18:00
165;165;0.692521393299103;tweeted Boa Galoooooo CAMxSPO GALO;01/10/2018 18:00
166;166;0.744903087615967;tweeted Valeu Galo;01/10/2018 18:00
167;167;0.105340093374252;tweeted Natan p√ssimo Pra que essa merda entrou no lugar do Cazares Galo;01/10/2018 18:00
168;168;0.545796871185303;tweeted Novo recorde de p√blico da√ doP√blicotorcedores;01/10/2018 18:00
169;169;0.5;Renda R;01/10/2018 18:00
170;170;0.565699994564056;atletico galo;01/10/2018 18:00
171;171;0.28574138879776;tweeted Novo recorde da Arena Independ√ncia P√blicotorcedores Renda R;01/10/2018 18:00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
